Balance,Avg Rate (for Balance),Day,Mouth,Year,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Winter,Spring,Summer,Autumn,Exchange Rate
-0.08861252891842084,1.5625,1,1,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.08155858444012445,1.5873015873015872,2,1,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.0634468299267925,1.639344262295082,3,1,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.05400010888340511,1.639344262295082,4,1,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.057872517616300224,1.5873015873015872,5,1,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.046886129691869796,1.5873015873015872,6,1,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.025032988793933248,1.6129032258064517,7,1,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.05607892942886779,1.5625,8,1,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.05630607156248591,1.5625,9,1,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.0565576155902908,1.5625,10,1,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.052972744158045336,1.5873015873015872,11,1,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.04991654824980541,1.5873015873015872,12,1,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.04837357628947186,1.6129032258064517,13,1,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.061220933046393713,1.5625,14,1,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.07427980752170839,1.5384615384615383,15,1,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.07452983525281943,1.5384615384615383,16,1,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.06601872045644967,1.5625,17,1,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.06540638731593167,1.5625,18,1,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.05398122459886759,1.5873015873015872,19,1,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.053738711992173185,1.6129032258064517,20,1,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.0687833038825778,1.5625,21,1,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.07067778863436062,1.5873015873015872,22,1,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.06885276050853588,1.5873015873015872,23,1,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.0690031753321701,1.5873015873015872,24,1,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.07490662042210434,1.5625,25,1,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.06926978163892843,1.5873015873015872,26,1,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.06484120266556695,1.5873015873015872,27,1,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.05903890624308213,1.639344262295082,28,1,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.055295829005291425,1.639344262295082,29,1,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.05542161220674784,1.639344262295082,30,1,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.055733730555701376,1.6129032258064517,31,1,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.08283907339696918,1.5873015873015872,1,2,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.07681749984453823,1.6129032258064517,2,2,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.06599954790083064,1.639344262295082,3,2,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.06783272117893825,1.639344262295082,4,2,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.08527322291580706,1.6129032258064517,5,2,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.08266704192031601,1.5873015873015872,6,2,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.08196632940250739,1.5873015873015872,7,2,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.08276966749813927,1.6129032258064517,8,2,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.08316140230456741,1.5873015873015872,9,2,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.08881504387423184,1.5873015873015872,10,2,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.1,1.5625,11,2,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.09935904403912348,1.5384615384615383,12,2,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.09780134036906732,1.5384615384615383,13,2,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.09301985521740173,1.5625,14,2,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.09427778516137605,1.5625,15,2,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.08112408635817803,1.6129032258064517,16,2,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.09455577380811332,1.5625,17,2,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.0942441782091115,1.5625,18,2,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.09113977329190671,1.5873015873015872,19,2,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.09138629426124797,1.5873015873015872,20,2,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.08818271566299908,1.5873015873015872,21,2,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.09618484870839245,1.5625,22,2,2010,1,0,0,0,0,0,0,1,0,0,0,0
-0.09918520738167814,1.5384615384615383,23,2,2010,0,1,0,0,0,0,0,1,0,0,0,0
-0.09168790611776713,1.5625,24,2,2010,0,0,1,0,0,0,0,1,0,0,0,0
-0.09619529328614478,1.5384615384615383,25,2,2010,0,0,0,1,0,0,0,1,0,0,0,0
-0.07121917475218037,1.639344262295082,26,2,2010,0,0,0,0,1,0,0,1,0,0,0,0
-0.07141939150855518,1.639344262295082,27,2,2010,0,0,0,0,0,1,0,1,0,0,0,0
-0.07187050601992732,1.639344262295082,28,2,2010,0,0,0,0,0,0,1,1,0,0,0,0
-0.09570789202020474,1.5384615384615383,1,3,2010,1,0,0,0,0,0,0,0,1,0,0,0
